shell_z,sum_cos,sum_sin,N_kept,N_total,decimate_k
1,0.0,0.0,0,1,25
2,0.0,0.0,0,1,25
3,0.0,0.0,0,1,25
4,0.0,0.0,0,2,25
5,0.0,0.0,0,2,25
6,0.0,0.0,0,3,25
7,0.0,0.0,0,4,25
8,0.0,0.0,0,7,25
9,0.0,0.0,0,9,25
10,0.0,0.0,0,16,25
11,0.0,0.0,0,20,25
12,0.1415633352890313,-0.989929200550143,1,32,25
13,-0.9615331598424334,-0.2746888831449598,1,48,25
14,-0.963661859903804,-0.36644837059362756,2,72,25
15,-0.4890470325933054,-0.40005392700534925,4,110,25
16,-0.7568055745308555,-0.3961331001627859,6,172,25
17,-0.2956726023332368,-0.8403560785834079,10,257,25
18,0.3253108042132594,-1.0344557201092073,16,401,25
19,-0.19536744398769545,-1.9310286307234978,24,608,25
20,0.5970944039175282,-2.9113797582661722,38,950,25
21,-1.027557681378487,-4.228927671248016,57,1448,25
22,0.18521944597737783,-6.6624069261882335,90,2256,25
23,-0.20968653150414496,-9.81804374237318,139,3487,25
24,-0.3139688459168132,-15.14252661315474,216,5413,25
25,1.374112293866098,-23.090406725237617,337,8440,25
26,1.3739931241941221,-35.852586455796896,524,13118,25
27,4.362865959073179,-56.89091205884558,819,20478,25
28,5.787702414330822,-88.91082934238051,1277,31932,25
29,11.069467282748416,-140.94502084345288,1999,49995,25
30,16.99895891452056,-223.3654711937794,3128,78223,25
31,26.385653171588405,-348.9956993874935,4902,122553,25
32,41.02151281987083,-552.6420709436957,7690,192262,25
33,65.03563259402237,-865.9874834310177,12073,301826,25
34,89.91902588426555,-1360.84833940721,18961,474039,25
35,156.9525764686011,-2144.007603917145,29830,745772,25
36,231.0967747507219,-3370.0053674576434,46930,1173270,25
37,375.4240876537796,-5316.264456878137,73920,1848001,25
38,14977.26028765986,18819.82562277479,27449,686226,25
